Aspect_Ratio,Box_Office,Director,Genre,Link,Name,Original_Language,Producer,Production_Co,Rating,Release_Date_Streaming,Release_Date_Theaters,Runtime,Sound_Mix,Writer
Scope (2.35:1),$210.5M,Lee Unkrich,"adventure, animation, kids and family, music, comedy",https://www.rottentomatoes.com//m/coco_2017,Coco,English,Darla K. Anderson,Pixar Animation Studios,PG (Thematic Elements),"Feb 13, 2018","Nov 22, 2017",1h 49m,Dolby Atmos,Adrian Molina
Flat (1.85:1),$3.8M,Céline Sciamma,"gay and lesbian, drama, romance, history",https://www.rottentomatoes.com//m/portrait_of_a_lady_on_fire,Portrait of a Lady on Fire,French (France),Bénédicte Couvreur,"arte France Cinéma, Hold Up Films",R (Some Nudity and Sexuality),"Apr 3, 2020","Dec 6, 2019",2h 1m,Dolby Digital,Céline Sciamma
,$52.1M,Ava DuVernay,"history, drama",https://www.rottentomatoes.com//m/selma,Selma,English,Christian Colson,"Plan B Entertainment, Cloud Eight, Harpo Films",PG-13 (Brief Strong Language|A Suggestive Moment|Disturbing Thematic Material|Violence),"May 24, 2016","Jan 9, 2015",2h 8m,,Paul Webb
Scope (2.35:1),$48.6M,Spike Lee,"crime, drama, comedy",https://www.rottentomatoes.com//m/blackkklansman,BlacKkKlansman,English,Sean McKittrick,"40 Acres & A Mule Filmworks, QC Entertainment, Monkeypaw Productions, Blumhouse Productions",R (Language Throughout|Disturbing/Violent Material|Racial Epithets|Some Sexual References),"Oct 23, 2018","Aug 10, 2018",2h 14m,Dolby Atmos,Charlie Wachtel
Scope (2.35:1),$315.0M,Taika Waititi,"adventure, fantasy, action, comedy, sci fi",https://www.rottentomatoes.com//m/thor_ragnarok_2017,Thor: Ragnarok,English,Kevin Feige,Marvel Studios,PG-13 (Brief Suggestive Material|Action|Intense Sci-Fi Violence),"Feb 17, 2018","Nov 3, 2017",2h 10m,Dolby Atmos,Eric Pearson
Scope (2.35:1),$17.7M,Lulu Wang,"drama, comedy",https://www.rottentomatoes.com//m/the_farewell_2019,The Farewell,English,Chris Weitz,"Big Beach, Kindred Spirit, Ray Production",PG (Some Smoking|Brief Language|Thematic Material),"Aug 27, 2019","Aug 2, 2019",1h 40m,,Lulu Wang
Scope (2.35:1),$176.0M,Jordan Peele,"horror, mystery and thriller, comedy",https://www.rottentomatoes.com//m/get_out,Get Out,English,Sean McKittrick,"Universal Pictures, QC Entertainment, Blumhouse Productions",R (Language|Bloody Images|Sexual References|Violence),"May 9, 2017","Feb 24, 2017",1h 44m,"Dolby Digital, DTS, SDDS",Jordan Peele
,$100.5M,Denis Villeneuve,"mystery and thriller, drama, sci fi",https://www.rottentomatoes.com//m/arrival_2016,Arrival,English,Shawn Levy,"21 Laps Entertainment, FilmNation, Lava Bear Films",PG-13 (Brief Strong Language),"Jan 31, 2017","Nov 11, 2016",1h 56m,Dolby Digital,Eric Heisserer
,,Sam Wood,comedy,https://www.rottentomatoes.com//m/1015002-night_at_the_opera,A Night at the Opera,English,,Metro Goldwyn Mayer,,"Jan 1, 2009",,1h 33m,,
,$45.0M,Tom McCarthy,drama,https://www.rottentomatoes.com//m/spotlight_2015,Spotlight,English,Michael Sugar,"Anonymous Content, Rocklin/Faust",R (Some Language|Sexual References),"Feb 2, 2016","Nov 20, 2015",2h 8m,,Josh Singer
